 		8646	101
e		5429	000
a		3924	0111
i		4958	1111
l		2847	0100
n		2881	0101
r		2804	0011
s		4061	1001
t		4010	1000
u		4407	1101
c		1974	01101
d		1374	00101
m		2223	11100
o		2111	11000
,		814	011000
.		1112	110011
p		1085	110010
v		695	001001
b		603	1110101
f		422	0110011
g		618	1110111
q		608	1110110
N		147	00100000
P		160	00100010
h		291	11101001
A		83	001000110
C		78	001000011
D		92	001000111
I		103	011001010
M		109	011001011
S		121	111010000
V		73	001000010
x		93	011001000
Q		45	0110010010
j		66	1110100010
E		31	11101000110
F		38	11101000111
U		28	01100100111
;		9	011001001100
L		7	0110010011011
O		6	0110010011010
